Year,Normal[1],A[2],N[3],A & N[4],MCI & A & N[5],MCI & N[6],Early AD[7],Late AD[8],Total Incidence,Incidence from State 5
2021,151.47,23.67,9.05,18.01,1.92,0.73,2.24,1.67,0.59,0.52
2022,152.85,24.02,9.24,18.51,2.1,0.75,2.15,1.7,0.64,0.57
2023,154.11,24.36,9.43,19.01,2.26,0.76,2.13,1.72,0.68,0.62
2024,155.28,24.69,9.63,19.53,2.4,0.78,2.15,1.73,0.72,0.65
2025,156.36,25,9.82,20.05,2.52,0.8,2.19,1.74,0.76,0.69
2026,157.34,25.29,10,20.58,2.64,0.82,2.26,1.75,0.79,0.72
2027,158.28,25.55,10.19,21.1,2.76,0.84,2.33,1.78,0.83,0.75
2028,159.2,25.8,10.36,21.63,2.87,0.86,2.41,1.81,0.86,0.78
2029,160.1,26.03,10.53,22.14,2.99,0.88,2.51,1.85,0.89,0.82
2030,161.07,26.24,10.7,22.64,3.11,0.9,2.6,1.9,0.93,0.85
2031,161.97,26.44,10.85,23.12,3.23,0.92,2.7,1.96,0.96,0.88
2032,162.76,26.61,10.99,23.58,3.35,0.93,2.8,2.02,0.99,0.91
2033,163.57,26.77,11.12,24.02,3.48,0.95,2.91,2.09,1.03,0.95
2034,164.41,26.92,11.25,24.44,3.6,0.97,3.01,2.16,1.06,0.98
2035,165.25,27.05,11.36,24.82,3.72,0.98,3.12,2.24,1.1,1.01
2036,166.1,27.18,11.46,25.18,3.85,1,3.23,2.31,1.13,1.04
2037,167,27.3,11.56,25.51,3.97,1.01,3.34,2.39,1.16,1.08
2038,167.88,27.42,11.64,25.82,4.09,1.03,3.44,2.47,1.19,1.11
2039,168.64,27.54,11.72,26.09,4.2,1.04,3.55,2.55,1.22,1.14
2040,169.41,27.66,11.79,26.34,4.31,1.05,3.65,2.63,1.25,1.16
2041,170.19,27.78,11.86,26.56,4.42,1.06,3.75,2.71,1.28,1.19
2042,170.95,27.91,11.92,26.75,4.52,1.07,3.84,2.79,1.31,1.22
2043,171.71,28.04,11.98,26.93,4.61,1.08,3.93,2.86,1.33,1.24
2044,172.49,28.19,12.04,27.09,4.7,1.09,4.02,2.93,1.35,1.26
2045,173.3,28.35,12.1,27.23,4.78,1.1,4.1,3,1.37,1.28
2046,174.12,28.52,12.16,27.36,4.85,1.1,4.18,3.06,1.39,1.3
2047,174.95,28.7,12.23,27.48,4.92,1.11,4.25,3.12,1.41,1.31
2048,175.8,28.9,12.29,27.6,4.98,1.12,4.31,3.18,1.42,1.33
2049,176.66,29.11,12.37,27.73,5.03,1.12,4.37,3.23,1.43,1.34
2050,177.53,29.33,12.44,27.86,5.08,1.13,4.43,3.28,1.44,1.35
2051,178.39,29.56,12.53,28,5.12,1.14,4.48,3.33,1.46,1.36
2052,179.24,29.81,12.62,28.15,5.16,1.15,4.52,3.37,1.46,1.37
2053,180.08,30.06,12.72,28.32,5.19,1.15,4.56,3.4,1.47,1.37
2054,180.91,30.32,12.83,28.51,5.23,1.16,4.6,3.44,1.48,1.38
2055,181.71,30.58,12.94,28.72,5.26,1.17,4.63,3.47,1.49,1.39
2056,182.5,30.85,13.06,28.95,5.29,1.18,4.67,3.5,1.5,1.4
2057,183.27,31.11,13.19,29.21,5.32,1.19,4.7,3.53,1.5,1.4
2058,184.01,31.38,13.32,29.49,5.35,1.2,4.74,3.56,1.51,1.41
2059,184.73,31.64,13.45,29.8,5.39,1.22,4.77,3.59,1.53,1.42
2060,185.43,31.89,13.59,30.13,5.43,1.23,4.81,3.61,1.54,1.43